Miles,Used,Certified,New,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Luxury,Base,Premium,Price
91805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24998
118303,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24500
99870,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
109491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22995
92453,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25989
68209,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32240
139507,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29995
122637,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22782
104988,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29888
191905,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20650
86917,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27281
91000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28200
62391,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29995
85754,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28995
139557,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23498
84148,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29756
144008,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21999
80166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24664
141756,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21700
73500,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30274
128583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21174
94541,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29334
120000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22995
111336,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26998
90850,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29991
123342,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22990
138118,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25990
90871,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
67500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28200
136138,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22999
113020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25990
62779,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33990
128242,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23999
165198,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19777
165282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18500
95696,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25570
117697,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22948
171747,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23777
131400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21988
77985,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28599
106099,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22903
79762,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25998
92185,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26418
115000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21995
101153,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24995
110362,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23507
141000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23499
132628,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18995
135390,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25900
97908,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24500
165000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19999
94869,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27497
86562,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26700
56263,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26700
95198,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25994
80782,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29998
151503,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23295
45840,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32595
83921,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28998
98668,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27008
75304,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28965
168551,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22995
58957,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29999
82595,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27562
171947,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23397
106649,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22412
105560,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26290
67564,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31841
73094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22500
80029,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25250
94073,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24995
65800,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28400
104023,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26745
79037,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30000
87965,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25555
51469,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30140
79360,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25995
100019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25995
86162,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28490
118424,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25555
152761,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19997
100331,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25990
106459,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23995
74827,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27568
78783,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27999
87448,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28829
70193,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29995
81559,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29998
79650,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,24991
113464,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25900
128288,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24285
83113,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29950
89804,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22979
111817,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21490
94076,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28250
135875,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24627
84411,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30495
86809,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27000
73381,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27998
56463,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31559
74944,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25499
57259,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29991
115521,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24888
140551,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22885
135720,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20495
42000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,33777
54048,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21999
65631,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32590
105310,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24000
81088,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28982
145832,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24699
118127,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,35995
60042,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,37781
89957,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30987
85033,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29663
133190,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24400
91031,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30000
85278,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28995
91510,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29995
133990,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23668
81549,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28393
84108,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29995
60402,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31995
95442,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24995
105690,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27994
82370,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25499
97067,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26879
97898,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26990
98226,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29980
80873,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30277
52054,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31000
90168,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29998
64438,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31884
59582,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31500
76062,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32901
107687,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27998
62983,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33990
84248,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28000
70041,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30993
89177,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29999
78749,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29978
85539,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26999
79648,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28549
95801,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24372
73959,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,34999
115837,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27995
191119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22495
57958,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,34991
